球団,日付,1番,2番,3番,4番,5番,6番,7番,8番,9番
中日,6月14日(水),大島 洋平,村松 開人,岡林 勇希,細川 成也,ビシエド,福永 裕基,木下 拓哉,龍空,涌井 秀章
中日,6月15日(木),大島 洋平,村松 開人,岡林 勇希,細川 成也,ビシエド,福永 裕基,石橋 康太,龍空,柳 裕也
中日,6月16日(金),岡林 勇希,ブライト 健太,福永 裕基,細川 成也,福田 永将,村松 開人,石橋 康太,龍空,小笠原 慎之介
中日,6月17日(土),大島 洋平,村松 開人,岡林 勇希,細川 成也,福永 裕基,ビシエド,石橋 康太,龍空,松葉 貴大
中日,6月18日(日),大島 洋平,福永 裕基,岡林 勇希,細川 成也,石川 昂弥,村松 開人,石橋 康太,龍空,福谷 浩司
中日,6月21日(水),大島 洋平,村松 開人,岡林 勇希,細川 成也,石川 昂弥,福田 永将,福永 裕基,龍空,石橋 康太
中日,6月23日(金),大島 洋平,岡林 勇希,ビシエド,細川 成也,石川 昂弥,福永 裕基,石橋 康太,龍空,小笠原 慎之介
中日,6月24日(土),大島 洋平,岡林 勇希,ビシエド,細川 成也,石川 昂弥,福永 裕基,龍空,石橋 康太,メヒア
中日,6月25日(日),大島 洋平,岡林 勇希,ビシエド,細川 成也,石川 昂弥,福永 裕基,龍空,石橋 康太,涌井 秀章
中日,6月27日(火),大島 洋平,岡林 勇希,ビシエド,細川 成也,石川 昂弥,福永 裕基,龍空,石橋 康太,柳 裕也
中日,6月28日(水),大島 洋平,岡林 勇希,ビシエド,細川 成也,石川 昂弥,福永 裕基,石橋 康太,龍空,髙橋 宏斗
中日,6月29日(木),大島 洋平,岡林 勇希,福永 裕基,細川 成也,石川 昂弥,高橋 周平,宇佐見 真吾,龍空,松葉 貴大
中日,6月30日(金),大島 洋平,岡林 勇希,石川 昂弥,細川 成也,高橋 周平,村松 開人,石橋 康太,龍空,小笠原 慎之介
中日,7月1日(土),大島 洋平,岡林 勇希,高橋 周平,細川 成也,石川 昂弥,村松 開人,石橋 康太,龍空,メヒア
中日,7月2日(日),大島 洋平,岡林 勇希,石川 昂弥,細川 成也,高橋 周平,福永 裕基,石橋 康太,龍空,涌井 秀章
中日,7月4日(火),大島 洋平,岡林 勇希,石川 昂弥,細川 成也,宇佐見 真吾,高橋 周平,村松 開人,龍空,柳 裕也
中日,7月5日(水),鵜飼 航丞,岡林 勇希,細川 成也,石川 昂弥,ビシエド,村松 開人,石橋 康太,龍空,髙橋 宏斗
中日,7月7日(金),大島 洋平,岡林 勇希,ビシエド,石川 昂弥,宇佐見 真吾,細川 成也,村松 開人,龍空,小笠原 慎之介
中日,7月8日(土),岡林 勇希,大島 洋平,細川 成也,ビシエド,宇佐見 真吾,石川 昂弥,福永 裕基,龍空,メヒア
中日,7月9日(日),鵜飼 航丞,岡林 勇希,細川 成也,ビシエド,石川 昂弥,宇佐見 真吾,福永 裕基,龍空,涌井 秀章
中日,7月11日(火),大島 洋平,岡林 勇希,細川 成也,ビシエド,石川 昂弥,宇佐見 真吾,村松 開人,龍空,柳 裕也
中日,7月12日(水),大島 洋平,岡林 勇希,細川 成也,ビシエド,石川 昂弥,宇佐見 真吾,福永 裕基,龍空,福谷 浩司
中日,7月13日(木),大島 洋平,岡林 勇希,細川 成也,石川 昂弥,宇佐見 真吾,ビシエド,村松 開人,龍空,小笠原 慎之介
中日,7月15日(土),大島 洋平,岡林 勇希,細川 成也,石川 昂弥,宇佐見 真吾,ビシエド,村松 開人,龍空,髙橋 宏斗
中日,7月16日(日),大島 洋平,岡林 勇希,細川 成也,石川 昂弥,宇佐見 真吾,ビシエド,村松 開人,龍空,メヒア
中日,7月17日(月),大島 洋平,岡林 勇希,細川 成也,石川 昂弥,宇佐見 真吾,ビシエド,村松 開人,龍空,涌井 秀章
中日,7月22日(土),大島 洋平,岡林 勇希,ビシエド,石川 昂弥,宇佐見 真吾,細川 成也,村松 開人,龍空,髙橋 宏斗
中日,7月23日(日),大島 洋平,岡林 勇希,ビシエド,石川 昂弥,宇佐見 真吾,細川 成也,村松 開人,龍空,柳 裕也
中日,7月25日(火),ビシエド,岡林 勇希,細川 成也,石川 昂弥,宇佐見 真吾,大島 洋平,福永 裕基,村松 開人,小笠原 慎之介
中日,7月26日(水),岡林 勇希,龍空,川越 誠司,細川 成也,宇佐見 真吾,大島 洋平,高橋 周平,福永 裕基,仲地 礼亜
中日,7月27日(木),岡林 勇希,龍空,宇佐見 真吾,細川 成也,大島 洋平,ビシエド,高橋 周平,福永 裕基,メヒア
