球団,日付,1番,2番,3番,4番,5番,6番,7番,8番,9番
DeNA,4月6日(日),梶原 昂希,牧 秀悟,三森 大貴,宮﨑 敏郎,佐野 恵太,松尾 汐恩,蝦名 達夫,森 敬斗,平良 拳太郎
DeNA,4月8日(火),梶原 昂希,牧 秀悟,佐野 恵太,筒香 嘉智,宮﨑 敏郎,山本 祐大,蝦名 達夫,森 敬斗,ジャクソン
DeNA,4月9日(水),梶原 昂希,牧 秀悟,三森 大貴,佐野 恵太,戸柱 恭孝,筒香 嘉智,度会 隆輝,森 敬斗,大貫 晋一
DeNA,4月12日(土),梶原 昂希,牧 秀悟,佐野 恵太,宮﨑 敏郎,度会 隆輝,山本 祐大,筒香 嘉智,森 敬斗,ケイ
DeNA,4月15日(火),梶原 昂希,牧 秀悟,佐野 恵太,宮﨑 敏郎,度会 隆輝,山本 祐大,筒香 嘉智,森 敬斗,ジャクソン
DeNA,4月16日(水),梶原 昂希,牧 秀悟,佐野 恵太,宮﨑 敏郎,度会 隆輝,戸柱 恭孝,筒香 嘉智,林 琢真,バウアー
DeNA,4月17日(木),梶原 昂希,三森 大貴,度会 隆輝,牧 秀悟,佐野 恵太,山本 祐大,筒香 嘉智,林 琢真,東 克樹
DeNA,4月19日(土),梶原 昂希,度会 隆輝,佐野 恵太,牧 秀悟,宮﨑 敏郎,山本 祐大,筒香 嘉智,林 琢真,ケイ
DeNA,4月20日(日),梶原 昂希,三森 大貴,度会 隆輝,牧 秀悟,佐野 恵太,宮﨑 敏郎,松尾 汐恩,林 琢真,平良 拳太郎
DeNA,4月22日(火),梶原 昂希,三森 大貴,佐野 恵太,牧 秀悟,宮﨑 敏郎,度会 隆輝,山本 祐大,林 琢真,バウアー
DeNA,4月23日(水),三森 大貴,京田 陽太,佐野 恵太,牧 秀悟,宮﨑 敏郎,山本 祐大,蝦名 達夫,梶原 昂希,ジャクソン
DeNA,4月24日(木),三森 大貴,蝦名 達夫,京田 陽太,牧 秀悟,佐野 恵太,宮﨑 敏郎,戸柱 恭孝,梶原 昂希,大貫 晋一
DeNA,4月25日(金),三森 大貴,蝦名 達夫,度会 隆輝,牧 秀悟,佐野 恵太,京田 陽太,筒香 嘉智,山本 祐大,東 克樹
DeNA,4月26日(土),三森 大貴,蝦名 達夫,度会 隆輝,牧 秀悟,佐野 恵太,京田 陽太,筒香 嘉智,山本 祐大,ケイ
DeNA,4月27日(日),三森 大貴,蝦名 達夫,度会 隆輝,牧 秀悟,宮﨑 敏郎,佐野 恵太,松尾 汐恩,石上 泰輝,バウアー
