日付,球場,球団,対戦相手,ホーム/ビジター,打者名,打順,守備位置,投手名,投手利き腕,イニング,表裏,イニング内打席番号,打席内球数,自チーム打席前得点,相手チーム打席前得点,打席前点差,打席前アウト数,打席前走者状況コード,打席前一塁走者,打席前二塁走者,打席前三塁走者,打席前状況コード,打席結果,最終投球結果,この打席得点数,打点,自チーム打席後得点,相手チーム打席後得点,打席後点差,打席後アウト数,打席後走者状況コード,打席後一塁走者,打席後二塁走者,打席後三塁走者,打席後状況コード,得点圏フラグ,打者走者進塁先,打者走者アウト,一塁走者進塁先,一塁走者アウト,二塁走者進塁先,二塁走者アウト,三塁走者進塁先,三塁走者アウト,打席前RE,打席後RE,RE24,打席前WE,打席後WE,WPA,WE推定方法_前,WE推定方法_後,WEサンプル数_前,WEサンプル数_後
2025/3/28,京セラD大阪,オリックス,楽天,home,杉本　裕太郎,4,9,早川　隆久,左,6,裏,3,5,2,0,2,2,0,0,0,0,2_000,一邪飛,邪飛,0,0,2,0,2,3,0,0,0,0,3_000,0,0,1,0,0,0,0,0,0,0.074,0,-0.074,0.93617,0.926316,-0.009854,exact,next_half_exact,47,95
2025/3/28,京セラD大阪,楽天,オリックス,away,辰己　涼介,4,8,宮城　大弥,左,8,表,1,3,0,2,-2,0,0,0,0,0,0_000,一安,単打,0,0,0,2,-2,0,100,0,0,1,0_100,0,1,0,0,0,0,0,0,0,0.365,0.675,0.31,0.092391,0.133333,0.040942,exact,exact,92,30
2025/3/28,京セラD大阪,オリックス,楽天,home,杉本　裕太郎,4,9,江原　雅裕,右,8,裏,4,1,2,1,1,2,100,0,0,1,2_100,右安,単打,0,0,2,1,1,2,110,0,1,1,2_110,0,1,0,2,0,0,0,0,0,0.184,0.368,0.184,0.944444,0.958333,0.013889,exact,exact,36,24
2025/3/28,京セラD大阪,楽天,オリックス,away,辰己　涼介,4,8,マチャド,右,9,表,5,6,2,2,0,1,110,0,1,1,1_110,空三振,空振り,0,0,2,2,0,2,110,0,1,1,2_110,1,0,1,0,0,0,0,0,0,0.715,0.368,-0.346,0.714286,0.55,-0.164286,exact,exact,7,10
2025/3/28,みずほPayPay,ソフトバンク,ロッテ,home,山川　穂高,4,3,小島　和哉,左,1,裏,4,2,0,0,0,2,1,1,0,0,2_001,右飛,凡打,0,0,0,0,0,3,1,1,0,0,3_000,1,0,1,0,0,0,0,0,0,0.287,0,-0.287,0.513889,0.53675,0.022862,exact,next_half_exact,36,517
2025/3/28,みずほPayPay,ロッテ,ソフトバンク,away,ポランコ,4,10,有原　航平,右,2,表,1,4,0,0,0,0,0,0,0,0,0_000,右飛,凡打,0,0,0,0,0,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.46325,0.43254,-0.03071,exact,exact,517,378
2025/3/28,みずほPayPay,ソフトバンク,ロッテ,home,山川　穂高,4,3,小島　和哉,左,3,裏,5,1,0,0,0,2,101,1,0,1,2_101,中２,二塁打,1,1,1,0,1,2,11,1,1,0,2_011,1,2,0,3,0,0,0,4,0,0.431,0.448,1.017,0.392857,0.625,0.232143,exact,exact,14,8
2025/3/28,みずほPayPay,ロッテ,ソフトバンク,away,ポランコ,4,10,有原　航平,右,5,表,1,4,0,1,-1,0,0,0,0,0,0_000,空三振,空振り,0,0,0,1,-1,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.28,0.216814,-0.063186,exact,exact,150,113
2025/3/28,みずほPayPay,ソフトバンク,ロッテ,home,山川　穂高,4,3,中森　俊介,右,5,裏,3,5,1,0,1,1,100,0,0,1,1_100,空三振,空振り,0,0,1,0,1,2,100,0,0,1,2_100,0,0,1,0,0,0,0,0,0,0.398,0.184,-0.214,0.764706,0.861111,0.096405,exact,exact,34,36
2025/3/28,みずほPayPay,ロッテ,ソフトバンク,away,ポランコ,4,10,有原　航平,右,6,表,7,1,4,1,3,1,100,0,0,1,1_100,右飛,凡打,0,0,4,1,3,2,100,0,0,1,2_100,0,0,1,0,0,0,0,0,0,0.398,0.184,-0.214,1,1,0,exact,exact,18,12
2025/3/28,みずほPayPay,ロッテ,ソフトバンク,away,ポランコ,4,10,津森　宥紀,右,8,表,2,4,7,1,6,0,10,0,1,0,0_010,中安,単打,1,1,8,1,7,0,10,0,1,0,0_010,1,2,0,0,0,4,0,0,0,0.958,0.958,1,0.947368,1,0.052632,inning_half_diff,inning_half_diff,76,51
2025/3/28,みずほPayPay,ソフトバンク,ロッテ,home,山川　穂高,4,3,小野　郁,右,8,裏,2,2,1,8,-7,1,0,0,0,0,1_000,遊失,失策出塁,0,0,1,8,-7,1,100,0,0,1,1_100,0,1,0,0,0,0,0,0,0,0.189,0.398,0.209,0,0,0,exact,exact,8,6
2025/3/28,みずほPayPay,ロッテ,ソフトバンク,away,ポランコ,4,10,津森　宥紀,右,9,表,4,4,8,2,6,2,100,0,0,1,2_100,右安,単打,0,0,8,2,6,2,101,1,0,1,2_101,0,1,0,3,0,0,0,0,0,0.184,0.431,0.247,1,1,0,exact,inning_half_diff,7,92
2025/3/29,東京ドーム,巨人,ヤクルト,home,岡本　和真,4,3,吉村　貢司郎,右,1,裏,4,7,0,0,0,2,1,1,0,0,2_001,左安,単打,1,1,1,0,1,2,100,0,0,1,2_100,1,1,0,0,0,0,0,4,0,0.287,0.184,0.896,0.513889,0.625,0.111111,exact,exact,36,32
2025/3/29,東京ドーム,ヤクルト,巨人,away,サンタナ,4,7,赤星　優志,右,2,表,1,7,0,1,-1,0,0,0,0,0,0_000,空三振,空振り,0,0,0,1,-1,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.292453,0.314286,0.021833,exact,exact,106,70
2025/3/29,東京ドーム,巨人,ヤクルト,home,岡本　和真,4,3,金久保　優斗,右,2,裏,8,3,5,0,5,1,101,1,0,1,1_101,二飛,凡打,0,0,5,0,5,2,101,1,0,1,2_101,1,0,1,0,0,0,0,0,0,1.016,0.431,-0.585,1,1,0,inning_half_diff,inning_half_diff,28,28
2025/3/29,東京ドーム,巨人,ヤクルト,home,岡本　和真,4,3,金久保　優斗,右,3,裏,7,2,10,0,10,2,100,0,0,1,2_100,中飛,凡打,0,0,10,0,10,3,100,0,0,1,3_000,0,0,1,0,0,0,0,0,0,0.184,0,-0.184,1,1,0,score_diff_only,next_half_score_diff_only,185,207
2025/3/29,東京ドーム,ヤクルト,巨人,away,サンタナ,4,7,赤星　優志,右,5,表,1,5,0,12,-12,0,0,0,0,0,0_000,空三振,空振り,0,0,0,12,-12,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0,0,0,exact,inning_half_diff,5,17
2025/3/29,東京ドーム,巨人,ヤクルト,home,岡本　和真,4,3,阪口　皓亮,右,5,裏,4,5,12,0,12,2,10,0,1,0,2_010,死球,死球,0,0,12,0,12,2,110,0,1,1,2_110,1,1,0,0,0,0,0,0,0,0.276,0.368,0.093,1,1,0,score_diff_only,score_diff_only,185,185
2025/3/29,東京ドーム,ヤクルト,巨人,away,サンタナ,4,7,高梨　雄平,左,7,表,3,3,0,12,-12,2,0,0,0,0,2_000,一ゴロ,凡打,0,0,0,12,-12,3,0,0,0,0,3_000,0,0,1,0,0,0,0,0,0,0.074,0,-0.074,0,0,0,inning_half_diff,next_half_inning_half_diff,10,16
